"L","a_lambda","b_lambda","mean_mspe","sd_mspe"
25,15,0.1,0.163186018829486,0.00992042728635716
36,15,0.1,0.139691826785205,0.0117388132310276
25,30,0.1,0.165418825109432,0.0101042042930113
36,30,0.1,0.14085528018702,0.0117078333053163
25,35,0.1,0.165954184235219,0.0103932483061772
36,35,0.1,0.141311513470683,0.0119493652006337
25,15,1,0.162898329273348,0.0100280726773729
36,15,1,0.139348125072131,0.0116773409519296
25,30,1,0.163128862791436,0.00937419065833533
36,30,1,0.139965499764073,0.0114299753712374
25,35,1,0.164219469739141,0.0100363009859035
36,35,1,0.140439956513332,0.0114691743705101
25,15,2,0.16311747215174,0.0102936492410773
36,15,2,0.139806626325026,0.0115261397780439
25,30,2,0.163550857113882,0.0105094710959305
36,30,2,0.139946987058443,0.0118604840290355
25,35,2,0.162981216797718,0.00998981219648365
36,35,2,0.140057391015859,0.0114955560255894
