"method","variable","true_status","SCP","TP","FP","FN","TN","precision","recall","specificity","FPR","F1","n_true_signal","n_pred_signal","n_grid"
"BSGL","X1","Active",0.906172839506173,1835,0,101,89,1,0.947830578512397,1,0,0.973216653407584,1936,1835,2025
"BSGL","X2","Active",0.857283950617284,1736,0,244,45,1,0.876767676767677,1,0,0.934337997847148,1980,1736,2025
"BSGL","X3","Active",0.894814814814815,1812,0,213,0,1,0.894814814814815,NA,NA,0.944487881157154,2025,1812,2025
"BSGL","X4","Null",0,0,0,0,2025,NA,NA,1,0,NA,0,0,2025
"BSGL","X5","Null",0,0,0,0,2025,NA,NA,1,0,NA,0,0,2025
"BSGL","centered_scaled_X1_X2","Active",0.735308641975309,1489,0,536,0,1,0.735308641975309,NA,NA,0.847467273762094,2025,1489,2025
"BSGL","centered_scaled_X1_X5","Null",0.00296296296296296,0,6,0,2019,0,NA,0.997037037037037,0.00296296296296296,NA,0,6,2025
"Gaussian SVC","X1","Active",0.932345679012346,1881,7,55,82,0.996292372881356,0.971590909090909,0.921348314606742,0.0786516853932584,0.983786610878661,1936,1888,2025
"Gaussian SVC","X2","Active",0.878024691358025,1773,5,207,40,0.99718785151856,0.895454545454546,0.888888888888889,0.111111111111111,0.943587014369345,1980,1778,2025
"Gaussian SVC","X3","Active",0.928888888888889,1881,0,144,0,1,0.928888888888889,NA,NA,0.963133640552995,2025,1881,2025
"Gaussian SVC","X4","Null",0.0177777777777778,0,36,0,1989,0,NA,0.982222222222222,0.0177777777777778,NA,0,36,2025
"Gaussian SVC","X5","Null",0.0641975308641975,0,130,0,1895,0,NA,0.935802469135802,0.0641975308641975,NA,0,130,2025
"Gaussian SVC","centered_scaled_X1_X2","Active",0.734814814814815,1488,0,537,0,1,0.734814814814815,NA,NA,0.847139197267293,2025,1488,2025
"Gaussian SVC","centered_scaled_X1_X5","Null",0.0893827160493827,0,181,0,1844,0,NA,0.910617283950617,0.0893827160493827,NA,0,181,2025
