"method","variable","mse","active"
"BSGL","X1",0.419828080640463,TRUE
"BSGL","X2",0.421241032573017,TRUE
"BSGL","X3",0.203547694717086,TRUE
"BSGL","X4",0.0662155911089531,FALSE
"BSGL","X5",0.201709943988851,FALSE
"BSGL","centered_scaled_X1_X2",0.651949261112097,TRUE
"BSGL","centered_scaled_X1_X5",0.200690974275037,FALSE
"Gaussian SVC","X1",0.195359620106618,TRUE
"Gaussian SVC","X2",0.379921575397193,TRUE
"Gaussian SVC","X3",0.0879183914351151,TRUE
"Gaussian SVC","X4",0.171597165227783,FALSE
"Gaussian SVC","X5",0.398524661592131,FALSE
"Gaussian SVC","centered_scaled_X1_X2",0.805902217296088,TRUE
"Gaussian SVC","centered_scaled_X1_X5",0.547367311683674,FALSE
"GGP-GAM","X1",0.0907704318751385,TRUE
"GGP-GAM","X2",0.376803721497503,TRUE
"GGP-GAM","X3",0.0816379664120283,TRUE
"GGP-GAM","X4",0.0168448802273802,FALSE
"GGP-GAM","X5",0.0182885141956628,FALSE
"GGP-GAM","centered_scaled_X1_X2",0.347093096588796,TRUE
"GGP-GAM","centered_scaled_X1_X5",0.0319467150209938,FALSE
"MGWR","X1",6.58849773783419,TRUE
"MGWR","X2",5.78043280286604,TRUE
"MGWR","X3",3.13322734074376,TRUE
"MGWR","X4",0.0108719746594682,FALSE
"MGWR","X5",0.326705939142437,FALSE
"MGWR","centered_scaled_X1_X2",2.78176578106203,TRUE
"MGWR","centered_scaled_X1_X5",0.0874913795476844,FALSE
