"n","m","L","a_lambda","b_lambda","MSPE"
1000,5,16,15,0.1,0.587426292926056
1000,5,16,30,0.1,0.58917096579596
1000,5,16,35,0.1,0.586135341737139
1000,5,16,15,1,0.587238491004458
1000,5,16,30,1,0.589946784082849
1000,5,16,35,1,0.584906475849734
1000,5,16,15,2,0.590365082728315
1000,5,16,30,2,0.589242672522496
1000,5,16,35,2,0.585668905782097
1000,5,25,15,0.1,0.119669723681558
1000,5,25,30,0.1,0.119605903123246
1000,5,25,35,0.1,0.119742988972342
1000,5,25,15,1,0.119499214205077
1000,5,25,30,1,0.119978527976215
1000,5,25,35,1,0.119890005548973
1000,5,25,15,2,0.120946856067013
1000,5,25,30,2,0.121731018040468
1000,5,25,35,2,0.119720353232925
1000,5,36,15,0.1,0.137418648880782
1000,5,36,30,0.1,0.136872226554135
1000,5,36,35,0.1,0.137188277189928
1000,5,36,15,1,0.13711991865613
1000,5,36,30,1,0.136005605829743
1000,5,36,35,1,0.137406535345005
1000,5,36,15,2,0.138777767697396
1000,5,36,30,2,0.139300667473413
1000,5,36,35,2,0.137072906541136
1000,5,49,15,0.1,0.17135533907485
1000,5,49,30,0.1,0.16630052294051
1000,5,49,35,0.1,0.170448147893387
1000,5,49,15,1,0.167420494941425
1000,5,49,30,1,0.167094625317175
1000,5,49,35,1,0.162808909427053
1000,5,49,15,2,0.170281640824637
1000,5,49,30,2,0.169135685667328
1000,5,49,35,2,0.168786559098046
