"n","m","rep_id","seed","Method","MSPE","Coverage","MSE_1","MSE_0"
1000,5,1,42,"BSGL",0.110556008111167,1,0.119947796625405,0.0501936056443224
1000,5,1,42,"GGP-GAM",0.0937575985433931,NA,0.0600796172950908,0.0175165471813479
1000,5,1,42,"GSVC",0.102206228831152,0.97,0.0694229334138321,0.0724125574175764
1000,5,1,42,"MGWR",0.339451725138676,NA,0.789168312435184,0.0595527700267265
1000,5,2,123,"BSGL",0.11987551643879,0.995,0.123502633467309,0.037274339322884
1000,5,2,123,"GGP-GAM",0.114940600641124,NA,0.101972036432516,0.00678263439817351
1000,5,2,123,"GSVC",0.123179732703394,0.945,0.0901896955077539,0.115978417893172
1000,5,2,123,"MGWR",0.445861441173217,NA,0.900737067173292,0.0150645494206328
1000,5,3,456,"BSGL",0.113611476568378,1,0.197587282778504,0.0606088264005847
1000,5,3,456,"GGP-GAM",0.100089913026962,NA,0.0819753334458898,0.00474158469789843
1000,5,3,456,"GSVC",0.108376899819547,0.99,0.106531556018813,0.072224318164998
1000,5,3,456,"MGWR",0.427354899959322,NA,0.841142186640367,0.0178139941020399
1000,5,4,789,"BSGL",0.115524852661367,1,0.175764465925412,0.0511453835865962
1000,5,4,789,"GGP-GAM",0.11726853487106,NA,0.0839893500050185,0.00554004408189483
1000,5,4,789,"GSVC",0.110907461246525,0.975,0.106431700711323,0.10395124626438
1000,5,4,789,"MGWR",0.432323099159147,NA,0.986862111545789,0.0334503114664085
1000,5,5,101,"BSGL",0.1374456304298,0.995,0.230474877129444,0.0624490233764508
1000,5,5,101,"GGP-GAM",0.127867665646489,NA,0.096906737815606,0.012521893045517
1000,5,5,101,"GSVC",0.132911085583637,0.935,0.132150825584138,0.0889552724605592
1000,5,5,101,"MGWR",0.294672674436886,NA,0.964862511668886,0.0452519437511386
1000,5,6,202,"BSGL",0.107822417199064,1,0.168681831177903,0.0537046711916964
1000,5,6,202,"GGP-GAM",0.0928855275011045,NA,0.06956569312276,0.00931588785228117
1000,5,6,202,"GSVC",0.100512408186879,0.97,0.0847916712254618,0.0761225623138804
1000,5,6,202,"MGWR",0.3523800007592,NA,0.984754388271625,0.0177112707814839
1000,5,7,303,"BSGL",0.158146666150838,0.99,0.181495312450259,0.0582938973462134
1000,5,7,303,"GGP-GAM",0.13841679431117,NA,0.0862286320909559,0.0155057146047715
1000,5,7,303,"GSVC",0.155438142286481,0.925,0.124835642103624,0.0894195814134186
1000,5,7,303,"MGWR",0.470782155771967,NA,0.837854481458999,0.074728910915763
1000,5,8,404,"BSGL",0.132453414054908,0.995,0.160959664974684,0.0632338436900314
1000,5,8,404,"GGP-GAM",0.124389523471354,NA,0.0715554461117903,0.00933051942642404
1000,5,8,404,"GSVC",0.132205697881675,0.935,0.0894534190778839,0.125960320227715
1000,5,8,404,"MGWR",0.466548610953198,NA,1.2686224594345,0.154365228764351
1000,5,9,505,"BSGL",0.117156572307413,0.995,0.139734572588021,0.0552658858747396
1000,5,9,505,"GGP-GAM",0.118969497758875,NA,0.0766704403048393,0.0236691953975647
1000,5,9,505,"GSVC",0.112496646468254,0.97,0.100177690517497,0.0936696826905592
