"n","m","Method","n_rep","MSPE_mean","MSPE_sd","Coverage_mean","Coverage_sd","MSE_1_mean","MSE_1_sd","MSE_0_mean","MSE_0_sd"
1000,5,"BSGL",10,0.124016813877134,0.0153372114223576,0.9965,0.00337474278855277,0.170348665872381,0.035742759823273,0.0548345736992566,0.00760562560538868
1000,5,"GGP-GAM",10,0.115258648723068,0.0151508675939755,NA,NA,0.083111196490044,0.0141812419442292,0.0120871458845787,0.00606115369275702
1000,5,"GSVC",10,0.121174216125283,0.0173870251109825,0.955,0.0223606797749979,0.104392678469607,0.0223871148234882,0.0943212206273573,0.0183166024297851
1000,5,"MGWR",10,0.435452187689819,0.103190525868742,NA,NA,0.939995739680512,0.146910741519972,0.0509525693242466,0.0418184086172841
1000,10,"BSGL",10,0.155531159689118,0.0165225676276289,0.993,0.00788810637746616,0.228022801619663,0.0260264443991279,0.0554504877357496,0.00775423971897507
1000,10,"GGP-GAM",10,0.133237891110668,0.0207440941927211,NA,NA,0.0984398321231759,0.0182123042799207,0.0225828682074153,0.0118300122288662
1000,10,"GSVC",10,0.176279114451962,0.0249783830511923,0.9445,0.0169066062038876,0.153214403213522,0.0167843069678022,0.144913602332629,0.0250129993249741
1000,10,"MGWR",10,0.525504818627728,0.0946780795861416,NA,NA,1.01567610691233,0.150593943816722,0.0718421993692587,0.0545812004410635
1000,20,"BSGL",10,0.16695876182235,0.0207952811356104,0.994,0.00394405318873308,0.290467767749262,0.0570109938145322,0.0457246941675569,0.00554744162854943
1000,20,"GGP-GAM",10,0.131142875651911,0.0189563618768568,NA,NA,0.0889576545111525,0.0239409160222303,0.0181802203420354,0.00615340086730714
1000,20,"GSVC",10,0.238106396933024,0.0429596429278914,0.9615,0.00914391114956348,0.235611589084913,0.0508585437943503,0.170134991092586,0.0206617136768158
1000,20,"MGWR",10,0.59025729209809,0.139677847599587,NA,NA,1.15457999877047,0.226560817719281,0.151165375462845,0.0671817564086124
5000,5,"BSGL",10,0.107638502042652,0.00585376814799748,0.9721,0.00634997812769637,0.0322203842255258,0.0056528351465563,0.0183681189159955,0.00633939679496796
5000,5,"GGP-GAM",10,0.109495569274336,0.0047433245652536,NA,NA,0.0284656407385139,0.00438335618056165,0.00611851862810409,0.00530158466079436
5000,5,"GSVC",10,0.107809167871334,0.00626217754489738,0.9508,0.0120812067094126,0.0262887766839789,0.00469037603365824,0.0278990825011698,0.00960577602794578
5000,5,"MGWR",10,0.166440085190863,0.0123869913415113,NA,NA,0.223032043115959,0.01667106861081,0.00846660058172214,0.00924092394126399
5000,10,"BSGL",10,0.11018294959793,0.00442344786065903,0.9732,0.00449196814077947,0.0364141797837678,0.00644796073321892,0.015755306669403,0.00208118105811136
5000,10,"GGP-GAM",10,0.109394271680285,0.0037399538326094,NA,NA,0.0295217491483088,0.0058665120695691,0.00417345175645025,0.00110030214688445
5000,10,"GSVC",10,0.112623306174363,0.00485208469317899,0.9493,0.00644722162382113,0.0299376574252489,0.00626551278858454,0.0267543036063865,0.00259203178096997
5000,10,"MGWR",10,0.166138807914385,0.0112224357514762,NA,NA,0.222725534086115,0.0135912991279491,0.00628150928079871,0.00519127403510245
5000,20,"BSGL",10,0.113617753527311,0.00559258178880201,0.9725,0.00579750904364203,0.0415748966396704,0.00602261622847766,0.0157661656405475,0.00180447926692991
5000,20,"GGP-GAM",10,0.109448415242294,0.00450913377653027,NA,NA,0.0305993418821043,0.00567400494301542,0.00456731556762882,0.00132323240836099
5000,20,"GSVC",10,0.120665105027917,0.00714945367397504,0.9536,0.00702693231629406,0.0383413266031686,0.00491042110983676,0.0326581537572566,0.00399710774762718
5000,20,"MGWR",10,0.165983844465877,0.00890224619292276,NA,NA,0.222584597854158,0.0113170201570673,0.00527631226474898,0.0023308971436337
10000,5,"BSGL",10,0.105482964904902,0.00363261475073916,0.9617,0.00522387680644261,0.0211894621859283,0.00289727591585604,0.00968075905652202,0.00183007631768652
10000,5,"GGP-GAM",10,0.106975075900295,0.00403926352167682,NA,NA,0.0201975191650376,0.00277526213273897,0.00247447298722604,0.00135185092740787
10000,5,"GSVC",10,0.105471418678057,0.0037136600110571,0.9492,0.00618780162003348,0.018396796415968,0.00317969486470498,0.0138290480654857,0.00216685054239954
10000,5,"MGWR",10,0.134545121665397,0.00642155401593353,NA,NA,0.130551427469472,0.00383261693410781,0.00308150228052968,0.00229170896962546
10000,10,"BSGL",10,0.108135832858495,0.00375046599425898,0.957,0.00413655788199697,0.0209722355361557,0.00216773981167061,0.00924286501256684,0.000929975574703186
10000,10,"GGP-GAM",10,0.108228932303475,0.00328448269445975,NA,NA,0.0189589466744603,0.00179423466284343,0.00193724921431275,0.000780352485090516
10000,10,"GSVC",10,0.108892898524523,0.00362422499826056,0.94355,0.00486169837722488,0.018418716735503,0.00234803794531455,0.0144041422359647,0.00148608404510916
10000,10,"MGWR",10,0.134268353946085,0.0030378759973969,NA,NA,0.135185574034236,0.00774295925845708,0.00198312778661827,0.000882817650600231
10000,20,"BSGL",10,0.109843476612557,0.00209828401638541,0.9607,0.00306594194335119,0.022589095874551,0.00225695456321378,0.00938800306109705,0.000801861280625745
10000,20,"GGP-GAM",10,0.108406241941834,0.00299822950664697,NA,NA,0.0198561923910237,0.0031870463031545,0.00228093483453834,0.000612368235190379
10000,20,"GSVC",10,0.112527936447914,0.00209636813866645,0.9497,0.00378006466728929,0.0210836654572613,0.00275959287710171,0.0159031632020559,0.000997652157086688
10000,20,"MGWR",10,0.134966791005113,0.00358599333464197,NA,NA,0.133892670779531,0.00780251149001369,0.00173384372406562,0.000790689309846459
