"n","m","rep_id","beta","SCP"
1000,5,1,1,0.9168
1000,5,1,2,0.888
1000,5,1,3,0.94
1000,5,1,4,0
1000,5,1,5,0
1000,5,2,1,0.928
1000,5,2,2,0.876
1000,5,2,3,0.9356
1000,5,2,4,0
1000,5,2,5,0
1000,5,3,1,0.9344
1000,5,3,2,0.862
1000,5,3,3,0.896
1000,5,3,4,0
1000,5,3,5,0
1000,5,4,1,0.92
1000,5,4,2,0.8688
1000,5,4,3,0.91
1000,5,4,4,0
1000,5,4,5,0.0396
1000,5,5,1,0.9292
1000,5,5,2,0.8716
1000,5,5,3,0.93
1000,5,5,4,0
1000,5,5,5,0.05
1000,5,6,1,0.9256
1000,5,6,2,0.878
1000,5,6,3,0.9184
1000,5,6,4,0
1000,5,6,5,0
1000,5,7,1,0.9136
1000,5,7,2,0.876
1000,5,7,3,0.9112
1000,5,7,4,0
1000,5,7,5,0
1000,5,8,1,0.9232
1000,5,8,2,0.8636
1000,5,8,3,0.8984
1000,5,8,4,0
1000,5,8,5,0
1000,5,9,1,0.9288
1000,5,9,2,0.882
1000,5,9,3,0.9052
1000,5,9,4,0
1000,5,9,5,0.0012
1000,5,10,1,0.942
1000,5,10,2,0.886
1000,5,10,3,0.8768
1000,5,10,4,0
1000,5,10,5,0.0184
1000,10,1,1,0.9224
1000,10,1,2,0.8736
1000,10,1,3,0.9096
1000,10,1,4,0
1000,10,1,5,0
1000,10,1,6,0
1000,10,1,7,0
1000,10,1,8,0
1000,10,1,9,0
1000,10,1,10,0
1000,10,2,1,0.9164
1000,10,2,2,0.8596
1000,10,2,3,0.9068
1000,10,2,4,0
1000,10,2,5,0
1000,10,2,6,0.016
1000,10,2,7,0
1000,10,2,8,0.0192
1000,10,2,9,0.0544
1000,10,2,10,0.016
1000,10,3,1,0.9252
1000,10,3,2,0.8592
1000,10,3,3,0.8752
1000,10,3,4,0.0012
1000,10,3,5,0
1000,10,3,6,0
1000,10,3,7,0
1000,10,3,8,0
1000,10,3,9,0
1000,10,3,10,0
1000,10,4,1,0.9192
1000,10,4,2,0.8508
1000,10,4,3,0.9036
1000,10,4,4,0
1000,10,4,5,0
1000,10,4,6,0
1000,10,4,7,0
1000,10,4,8,0
1000,10,4,9,0
1000,10,4,10,0
1000,10,5,1,0.9172
1000,10,5,2,0.8604
1000,10,5,3,0.8964
1000,10,5,4,0
1000,10,5,5,0
1000,10,5,6,0
1000,10,5,7,0
1000,10,5,8,0
1000,10,5,9,0
1000,10,5,10,0
1000,10,6,1,0.9172
1000,10,6,2,0.8688
1000,10,6,3,0.9064
1000,10,6,4,0
1000,10,6,5,0
1000,10,6,6,0
1000,10,6,7,0
1000,10,6,8,0
1000,10,6,9,0
1000,10,6,10,0
1000,10,7,1,0.912
1000,10,7,2,0.8748
1000,10,7,3,0.9148
1000,10,7,4,0
1000,10,7,5,0
1000,10,7,6,0
1000,10,7,7,0
1000,10,7,8,0
1000,10,7,9,0
1000,10,7,10,0
1000,10,8,1,0.922
1000,10,8,2,0.8612
1000,10,8,3,0.8836
1000,10,8,4,0
1000,10,8,5,0
1000,10,8,6,0
1000,10,8,7,0
1000,10,8,8,0.0212
1000,10,8,9,0.0016
1000,10,8,10,0
1000,10,9,1,0.9212
1000,10,9,2,0.882
1000,10,9,3,0.8704
1000,10,9,4,0
1000,10,9,5,0
1000,10,9,6,0
1000,10,9,7,0
1000,10,9,8,0
1000,10,9,9,0
1000,10,9,10,0
1000,10,10,1,0.9208
1000,10,10,2,0.862
1000,10,10,3,0.856
1000,10,10,4,0
1000,10,10,5,0
1000,10,10,6,0
1000,10,10,7,0
1000,10,10,8,0
1000,10,10,9,0.0132
1000,10,10,10,0
1000,20,1,1,0.9132
1000,20,1,2,0.8644
1000,20,1,3,0.8984
1000,20,1,4,0
1000,20,1,5,0
1000,20,1,6,0
1000,20,1,7,0
1000,20,1,8,0
1000,20,1,9,0
1000,20,1,10,0
1000,20,1,11,0.0256
1000,20,1,12,0
1000,20,1,13,0
1000,20,1,14,0.0016
1000,20,1,15,0.0048
1000,20,1,16,0
1000,20,1,17,0
1000,20,1,18,0
1000,20,1,19,0
1000,20,1,20,0
1000,20,2,1,0.914
1000,20,2,2,0.8596
1000,20,2,3,0.8736
1000,20,2,4,0
1000,20,2,5,0
1000,20,2,6,0
1000,20,2,7,0
1000,20,2,8,0
1000,20,2,9,0
1000,20,2,10,0
1000,20,2,11,0
1000,20,2,12,0
1000,20,2,13,0
1000,20,2,14,0
1000,20,2,15,0
1000,20,2,16,0
1000,20,2,17,0
1000,20,2,18,0
1000,20,2,19,4e-04
1000,20,2,20,0
1000,20,3,1,0.9224
1000,20,3,2,0.8472
1000,20,3,3,0.8676
1000,20,3,4,0
1000,20,3,5,0
1000,20,3,6,0
1000,20,3,7,0
1000,20,3,8,0
1000,20,3,9,0
1000,20,3,10,0.0216
1000,20,3,11,0
1000,20,3,12,0
1000,20,3,13,0
1000,20,3,14,0
1000,20,3,15,0
1000,20,3,16,0.0188
1000,20,3,17,0
1000,20,3,18,0
1000,20,3,19,0
1000,20,3,20,0
1000,20,4,1,0.9152
1000,20,4,2,0.8472
1000,20,4,3,0.8816
1000,20,4,4,0
1000,20,4,5,0
1000,20,4,6,0
1000,20,4,7,0
1000,20,4,8,0
1000,20,4,9,0
1000,20,4,10,0
1000,20,4,11,0
1000,20,4,12,0.0088
1000,20,4,13,0
1000,20,4,14,0
1000,20,4,15,0
1000,20,4,16,0
1000,20,4,17,0
1000,20,4,18,0
1000,20,4,19,0
1000,20,4,20,0
1000,20,5,1,0.9144
1000,20,5,2,0.8524
1000,20,5,3,0.8816
1000,20,5,4,0
1000,20,5,5,0
1000,20,5,6,0
1000,20,5,7,0
1000,20,5,8,0
1000,20,5,9,0
1000,20,5,10,0
1000,20,5,11,0
1000,20,5,12,0
1000,20,5,13,0
1000,20,5,14,0
1000,20,5,15,0
1000,20,5,16,0
1000,20,5,17,0
1000,20,5,18,0
1000,20,5,19,0.0596
1000,20,5,20,0
1000,20,6,1,0.9172
1000,20,6,2,0.868
1000,20,6,3,0.8708
1000,20,6,4,0
1000,20,6,5,0
1000,20,6,6,0
1000,20,6,7,0
1000,20,6,8,0
1000,20,6,9,0
1000,20,6,10,0
1000,20,6,11,0
1000,20,6,12,0
1000,20,6,13,0
1000,20,6,14,0
1000,20,6,15,0
1000,20,6,16,0
1000,20,6,17,0
1000,20,6,18,0
1000,20,6,19,0
1000,20,6,20,0
1000,20,7,1,0.91
1000,20,7,2,0.8616
1000,20,7,3,0.9016
1000,20,7,4,0
1000,20,7,5,0
1000,20,7,6,0
1000,20,7,7,0
1000,20,7,8,0
1000,20,7,9,0
1000,20,7,10,0
1000,20,7,11,0
1000,20,7,12,0
1000,20,7,13,0.0032
1000,20,7,14,0
1000,20,7,15,0
1000,20,7,16,0
1000,20,7,17,0
1000,20,7,18,0
1000,20,7,19,0
1000,20,7,20,0
1000,20,8,1,0.924
1000,20,8,2,0.8664
1000,20,8,3,0.8608
1000,20,8,4,0
1000,20,8,5,0
1000,20,8,6,0
1000,20,8,7,0
1000,20,8,8,0
1000,20,8,9,0
1000,20,8,10,0
1000,20,8,11,0
1000,20,8,12,0
1000,20,8,13,0
1000,20,8,14,0
1000,20,8,15,0
1000,20,8,16,0
1000,20,8,17,0
1000,20,8,18,0
1000,20,8,19,0
1000,20,8,20,0
1000,20,9,1,0.9184
1000,20,9,2,0.8692
1000,20,9,3,0.8324
1000,20,9,4,0
1000,20,9,5,0
1000,20,9,6,0
1000,20,9,7,0
1000,20,9,8,0
1000,20,9,9,0
1000,20,9,10,0
1000,20,9,11,0.0264
1000,20,9,12,0
1000,20,9,13,0
1000,20,9,14,0
1000,20,9,15,0
1000,20,9,16,0
1000,20,9,17,0
1000,20,9,18,0
1000,20,9,19,0
1000,20,9,20,0
1000,20,10,1,0.9288
1000,20,10,2,0.8676
1000,20,10,3,0.87
1000,20,10,4,0
1000,20,10,5,0
1000,20,10,6,0
1000,20,10,7,0
1000,20,10,8,0
1000,20,10,9,0
1000,20,10,10,0
1000,20,10,11,0
1000,20,10,12,0
1000,20,10,13,0
1000,20,10,14,0
1000,20,10,15,0
1000,20,10,16,0
1000,20,10,17,0
1000,20,10,18,0
1000,20,10,19,0
1000,20,10,20,0
5000,5,1,1,0.9788
5000,5,1,2,0.9272
5000,5,1,3,0.9852
5000,5,1,4,0.0044
5000,5,1,5,0.0676
5000,5,2,1,0.9796
5000,5,2,2,0.938
5000,5,2,3,0.9772
5000,5,2,4,0.0568
5000,5,2,5,0.0664
5000,5,3,1,0.9816
5000,5,3,2,0.936
5000,5,3,3,0.9784
5000,5,3,4,0.0036
5000,5,3,5,0.0084
5000,5,4,1,0.9788
5000,5,4,2,0.9268
5000,5,4,3,0.9884
5000,5,4,4,0
5000,5,4,5,0
5000,5,5,1,0.9812
5000,5,5,2,0.9276
5000,5,5,3,0.9828
5000,5,5,4,0.0064
5000,5,5,5,0.0096
5000,5,6,1,0.9828
5000,5,6,2,0.9328
5000,5,6,3,0.9732
5000,5,6,4,0.0084
5000,5,6,5,0.016
5000,5,7,1,0.982
5000,5,7,2,0.9316
5000,5,7,3,0.9808
5000,5,7,4,0.002
5000,5,7,5,0
5000,5,8,1,0.9804
5000,5,8,2,0.9276
5000,5,8,3,0.9864
5000,5,8,4,0
5000,5,8,5,0.004
5000,5,9,1,0.9812
5000,5,9,2,0.926
5000,5,9,3,0.9796
5000,5,9,4,0
5000,5,9,5,0.0596
5000,5,10,1,0.9816
5000,5,10,2,0.9276
5000,5,10,3,0.9836
5000,5,10,4,0.0968
5000,5,10,5,0.0028
5000,10,1,1,0.976
5000,10,1,2,0.9308
5000,10,1,3,0.9828
5000,10,1,4,0.03
5000,10,1,5,0.0192
5000,10,1,6,0.0636
5000,10,1,7,0
5000,10,1,8,0.0124
5000,10,1,9,0.0092
5000,10,1,10,0.028
5000,10,2,1,0.9736
5000,10,2,2,0.9336
5000,10,2,3,0.9828
5000,10,2,4,8e-04
5000,10,2,5,0.008
5000,10,2,6,0.03
5000,10,2,7,4e-04
5000,10,2,8,0
5000,10,2,9,0.0144
5000,10,2,10,0.0088
5000,10,3,1,0.9776
5000,10,3,2,0.9248
5000,10,3,3,0.9788
