"n","m","beta","n_rep","SCP_mean","SCP_sd"
1000,5,1,10,0.92616,0.00837180453134873
1000,5,2,10,0.8752,0.00881009521956362
1000,5,3,10,0.91216,0.0195406812118263
1000,5,4,10,0,0
1000,5,5,10,0.01092,0.0189023690461158
1000,10,1,10,0.91936,0.00377217885754816
1000,10,2,10,0.86524,0.00932084879301356
1000,10,3,10,0.89228,0.0197891552792601
1000,10,4,10,0.00012,0.000379473319220206
1000,10,5,10,0,0
1000,10,6,10,0.0016,0.00505964425626941
1000,10,7,10,0,0
1000,10,8,10,0.00404,0.008530103555448
1000,10,9,10,0.00692,0.0171829890039862
1000,10,10,10,0.0016,0.00505964425626941
1000,20,1,10,0.91776,0.00573550346525916
1000,20,2,10,0.86036,0.00852176298922028
1000,20,3,10,0.87384,0.0195634125630246
1000,20,4,10,0,0
1000,20,5,10,0,0
1000,20,6,10,0,0
1000,20,7,10,0,0
1000,20,8,10,0,0
1000,20,9,10,0,0
1000,20,10,10,0.00216,0.0068305197459637
1000,20,11,10,0.0052,0.0109641841161727
1000,20,12,10,0.00088,0.00278280434094817
1000,20,13,10,0.00032,0.00101192885125388
1000,20,14,10,0.00016,0.00050596442562694
1000,20,15,10,0.00048,0.00151789327688082
1000,20,16,10,0.00188,0.00594508200111655
1000,20,17,10,0,0
1000,20,18,10,0,0
1000,20,19,10,0.006,0.0188335398218769
1000,20,20,10,0,0
5000,5,1,10,0.9808,0.00135973853695807
5000,5,2,10,0.93012,0.0042376093889519
5000,5,3,10,0.98156,0.00462437983830145
5000,5,4,10,0.01784,0.0325945871443574
5000,5,5,10,0.02344,0.0288272710389928
5000,10,1,10,0.97728,0.00339830022870911
5000,10,2,10,0.93068,0.00359777709148302
5000,10,3,10,0.98212,0.0042418025518509
5000,10,4,10,0.02004,0.0216266913275651
5000,10,5,10,0.02392,0.0319331524003225
5000,10,6,10,0.0186,0.0219561178515491
5000,10,7,10,0.0072,0.0102865608117258
5000,10,8,10,0.0212,0.0221277101290566
5000,10,9,10,0.01724,0.0161827892115873
5000,10,10,10,0.02808,0.0266491942759168
5000,20,1,10,0.97512,0.00473586786602462
5000,20,2,10,0.92876,0.00515174188449347
5000,20,3,10,0.97808,0.00644373942503713
5000,20,4,10,0.01844,0.0225175092366412
5000,20,5,10,0.01428,0.0240096647206911
5000,20,6,10,0.01872,0.0294366664779376
5000,20,7,10,0.01152,0.0189875280703472
5000,20,8,10,0.01688,0.020129182795136
5000,20,9,10,0.01876,0.0343655900251658
5000,20,10,10,0.02796,0.0361603588969407
5000,20,11,10,0.03236,0.0379952979547031
5000,20,12,10,0.01048,0.0149568861881223
5000,20,13,10,0.0056,0.00877774964833749
5000,20,14,10,0.00304,0.00570130589329225
5000,20,15,10,0.01724,0.0162496632443739
5000,20,16,10,0.0228,0.0418968044392675
5000,20,17,10,0.0016,0.0014360439485692
5000,20,18,10,0.01072,0.0151751844213579
5000,20,19,10,0.01764,0.0173542950175326
5000,20,20,10,0.02676,0.0482156083534045
10000,5,1,10,0.98808,0.00111235485944608
10000,5,2,10,0.94164,0.00219453867589523
10000,5,3,10,0.98872,0.00367477890491387
10000,5,4,10,0.03452,0.0298321526768239
10000,5,5,10,0.02356,0.033010947679015
10000,10,1,10,0.98644,0.0022187083329421
10000,10,2,10,0.9396,0.00432049379893856
10000,10,3,10,0.98688,0.00401685338431851
10000,10,4,10,0.02996,0.0509840759453381
10000,10,5,10,0.03088,0.0334205791558302
10000,10,6,10,0.03092,0.0329573731423553
10000,10,7,10,0.03468,0.0399920214265018
10000,10,8,10,0.01892,0.025886624602936
10000,10,9,10,0.01436,0.0118995051250975
10000,10,10,10,0.02944,0.0209814309436808
10000,20,1,10,0.98604,0.0014538836878436
10000,20,2,10,0.93892,0.00567583571917927
10000,20,3,10,0.98496,0.00504627475360675
10000,20,4,10,0.03828,0.0351924486849728
10000,20,5,10,0.03672,0.0422482820163534
10000,20,6,10,0.0266,0.0188441561822816
10000,20,7,10,0.01268,0.0174325876194876
10000,20,8,10,0.02184,0.0282623896135247
10000,20,9,10,0.01564,0.0155680013703322
10000,20,10,10,0.06192,0.0704976091005141
10000,20,11,10,0.00772,0.00784981245352751
10000,20,12,10,0.0224,0.0240983171381092
10000,20,13,10,0.0262,0.0227966859189859
10000,20,14,10,0.01548,0.0201020065333455
10000,20,15,10,0.01912,0.018319437157778
10000,20,16,10,0.01372,0.0260270286860068
10000,20,17,10,0.03752,0.0421846944334606
10000,20,18,10,0.0186,0.0232354135845361
10000,20,19,10,0.01392,0.0231092477881331
10000,20,20,10,0.01956,0.0223654098007516
